NAME,TEAM,POS,GP,MPG,FT,TWO_P,THREE_P,eFG,PPG,RPG,APG,SPG,BPG,TPG
Moses Moody,Gol,G,66,17.5,0.785,0.555,0.36,0.548,8.1,3,0.9,0.6,0.4,0.7
Naji Marshall,Nor,F,66,19,0.791,0.516,0.387,0.542,7.1,3.6,1.9,0.7,0.2,1
Haywood Highsmith,Mia,F,66,20.7,0.639,0.562,0.396,0.581,6.1,3.2,1.1,0.8,0.5,0.5
Kris Dunn,Uta,G,66,18.9,0.688,0.525,0.369,0.535,5.4,2.9,3.8,1,0.4,1.2
Garrison Mathews,Atl,G,66,15,0.81,0.545,0.44,0.644,4.9,1.4,0.6,0.3,0.1,0.3
Al Horford,Bos,C-F,65,26.8,0.867,0.658,0.419,0.64,8.6,6.4,2.6,0.6,1,0.7
Matisse Thybulle,Por,F,65,22.9,0.759,0.535,0.346,0.524,5.4,2.1,1.4,1.7,0.8,0.6
Jae'Sean Tate,Hou,F,65,15.9,0.667,0.559,0.299,0.522,4.1,3,1,0.6,0.2,0.6
Brandon Ingram,Nor,F,64,32.9,0.801,0.534,0.355,0.534,20.8,5.1,5.7,0.8,0.6,2.5
Kevin Huerter,Sac,G,64,24.4,0.766,0.571,0.361,0.553,10.2,3.5,2.6,0.7,0.4,0.8
Caleb Martin,Mia,F,64,27.4,0.778,0.489,0.349,0.504,10,4.4,2.2,0.7,0.5,1.2
Walker Kessler,Uta,C,64,23.3,0.602,0.68,0.211,0.66,8.1,7.5,0.9,0.5,2.4,1
Dario Saric,Gol,F-C,64,17.2,0.849,0.56,0.376,0.562,8,4.4,2.3,0.5,0.2,1.2
Alperen Sengun,Hou,C,63,32.5,0.693,0.567,0.297,0.553,21.1,9.4,5,1.2,0.7,2.6
Saddiq Bey,Atl,F,63,32.7,0.837,0.522,0.316,0.497,13.7,6.5,1.5,0.8,0.2,0.9
Ausar Thompson,Det,F,63,25.1,0.597,0.575,0.186,0.505,8.8,6.4,1.9,1.1,0.9,1.3
Bilal Coulibaly,Was,G,63,27.2,0.702,0.502,0.346,0.509,8.4,4.1,1.7,0.9,0.8,1.4
James Wiseman,Det,C,63,17.3,0.706,0.617,0,0.613,7.1,5.3,0.9,0.2,0.6,1
Trendon Watford,Bro,F,63,13.6,0.794,0.564,0.397,0.571,6.9,3.1,1.3,0.4,0.3,1
Luke Kornet,Bos,C-F,63,15.6,0.907,0.698,1,0.702,5.3,4.1,1.1,0.4,1,0.3
Dwight Powell,Dal,F-C,63,13.3,0.708,0.689,0.333,0.684,3.3,3.4,1.3,0.4,0.3,0.5
JT Thor,Cha,F,63,12.4,0.55,0.51,0.346,0.514,3.2,2.3,0.5,0.2,0.4,0.2
Cade Cunningham,Det,G,62,33.5,0.869,0.487,0.355,0.5,22.7,4.3,7.5,0.9,0.4,3.4
Karl-Anthony Towns,Min,F,62,32.7,0.873,0.551,0.416,0.576,21.8,8.3,3,0.7,0.7,2.9
